Plant,Min pH,Max pH,Min Temp (°C),Max Temp (°C),Min Humidity (%),Max Humidity (%),Soil Texture,Nitrogen (N),Phosphorus (P),Potassium (K),Organic Matter (%),Soil Depth (cm),Soil Aeration,Sunlight,Wind Tolerance,Frost Tolerance
Pineapple,4.5,6.5,20,30,60,80,Sandy,Medium,Medium,Medium,3,30,Moderate,Full Sun,Low,No
Orange,6.0,7.5,15,30,50,70,Loamy,High,Medium,High,5,50,Good,Full Sun,Medium,No
Grape,5.5,7.0,15,30,50,70,Loamy,High,Medium,High,4,40,Good,Full Sun,Medium,Yes
Olive,6.0,8.0,15,30,30,50,Loamy,Medium,Medium,Medium,3,40,Good,Full Sun,High,Yes
Pine,5.0,6.5,10,25,40,60,Loamy,Low,Low,Low,2,50,Moderate,Full Sun,High,Yes
Oak,5.0,6.5,10,25,50,70,Loamy,Low,Low,Low,3,60,Good,Full Sun,High,Yes
Coconut,5.0,8.0,20,35,70,90,Sandy,Medium,Medium,Medium,4,60,Good,Full Sun,Low,No
Pepper,5.5,7.0,20,30,50,70,Loamy,Medium,Medium,Medium,3,30,Good,Full Sun,Medium,No
Mango,5.5,7.5,20,35,60,80,Loamy,High,Medium,High,5,50,Good,Full Sun,Medium,No
Cherry,6.0,7.5,10,25,50,70,Loamy,Medium,Medium,Medium,4,40,Good,Full Sun,Medium,Yes
Avocado,5.5,7.0,18,30,60,80,Loamy,High,High,High,5,60,Good,Full Sun,Medium,No
Pomegranate,5.5,7.5,15,30,40,60,Loamy,High,Medium,High,4,50,Good,Full Sun,Medium,Yes
Coffee,5.0,6.5,15,30,70,90,Loamy,High,Medium,High,6,50,Good,Partial Shade,Low,No
Tea,4.5,6.0,15,25,60,90,Loamy,Medium,Medium,Medium,5,40,Good,Partial Shade,Low,No
Almond,6.0,7.5,10,30,30,50,Loamy,Medium,Medium,Medium,4,40,Good,Full Sun,High,Yes
Cashew,5.5,7.5,20,35,60,80,Sandy,Medium,Medium,Medium,4,50,Moderate,Full Sun,Low,No
Walnut,6.0,7.5,10,25,40,60,Loamy,Medium,Medium,Medium,4,50,Good,Full Sun,High,Yes
Blackberry,5.5,6.5,15,25,60,80,Loamy,Medium,High,Medium,4,30,Good,Full Sun,Low,Yes
Raspberry,5.5,6.5,15,25,60,80,Loamy,Medium,High,Medium,4,30,Good,Full Sun,Low,Yes
Fig,6.0,7.5,15,30,40,60,Loamy,Medium,Medium,Medium,3,40,Good,Full Sun,Medium,Yes
Persimmon,6.0,7.5,15,30,50,70,Loamy,Medium,Medium,Medium,4,40,Good,Full Sun,Medium,Yes
Guava,5.5,7.0,20,35,60,80,Loamy,High,Medium,High,5,50,Good,Full Sun,Medium,No
Date Palm,6.0,8.0,25,40,30,50,Sandy,Medium,Low,Medium,3,50,Moderate,Full Sun,High,No
Sugarcane,5.5,7.5,20,35,70,90,Loamy,High,High,High,6,50,Good,Full Sun,Medium,No
Barley,6.0,7.5,10,25,30,50,Loamy,High,Medium,Medium,2,20,Moderate,Full Sun,High,Yes
Chia,5.0,7.5,15,30,40,60,Loamy,Medium,Medium,Medium,3,40,Good,Full Sun,Medium,No
Lavender,6.5,7.5,15,25,30,50,Loamy,Low,Medium,Low,2,20,Good,Full Sun,High,Yes
Papaya,5.5,7.5,20,35,60,80,Loamy,High,Medium,High,5,50,Good,Full Sun,Medium,No
Peach,5.5,7.5,15,30,50,70,Loamy,High,Medium,High,4,40,Good,Full Sun,Medium,Yes
Pear,5.5,7.0,10,25,50,70,Loamy,Medium,Medium,Medium,4,50,Good,Full Sun,Medium,Yes
Plum,6.0,7.5,10,25,50,70,Loamy,Medium,Medium,Medium,4,40,Good,Full Sun,Medium,Yes
Pistachio,6.0,7.5,15,30,30,50,Loamy,Medium,Medium,Medium,3,40,Good,Full Sun,High,Yes
Cranberry,4.0,5.5,10,25,70,90,Loamy,Medium,High,High,5,30,Good,Partial Shade,Low,Yes
Kiwi,5.0,6.5,10,25,60,80,Loamy,Medium,Medium,Medium,4,30,Good,Partial Shade,Low,No
Hazelnut,6.0,7.5,10,25,40,60,Loamy,Medium,Medium,Medium,3,40,Good,Full Sun,Medium,Yes
Lime,5.5,7.5,15,30,50,70,Loamy,High,Medium,High,5,50,Good,Full Sun,Medium,No
Vanilla,5.5,7.0,20,30,70,90,Loamy,High,Medium,High,6,40,Good,Partial Shade,Low,No
Macadamia,5.5,7.5,15,30,50,70,Loamy,Medium,Medium,Medium,4,40,Good,Full Sun,Medium,No
Passionfruit,5.5,7.0,20,30,60,80,Loamy,Medium,Medium,Medium,4,30,Good,Full Sun,Low,No
Dragon Fruit,6.0,7.5,20,35,50,70,Sandy,Medium,Medium,Medium,3,30,Moderate,Full Sun,Low,No
Jackfruit,5.5,7.5,20,35,60,80,Loamy,High,Medium,High,5,50,Good,Full Sun,Medium,No
Soursop,5.5,7.0,20,30,60,80,Loamy,Medium,Medium,Medium,4,40,Good,Full Sun,Low,No
Aloe Vera,6.0,8.0,15,35,30,50,Sandy,Low,Low,Low,2,20,Poor,Full Sun,High,No
Agave,6.0,8.0,15,35,20,50,Sandy,Low,Low,Low,2,20,Poor,Full Sun,High,No
Cotton,5.5,7.5,20,35,30,50,Loamy,Medium,Medium,Medium,3,40,Good,Full Sun,High,No
Jatropha,6.0,7.5,20,35,30,50,Loamy,Medium,Medium,Medium,3,40,Good,Full Sun,High,No
Sesame,5.5,7.5,20,35,30,50,Loamy,Medium,Medium,Medium,3,30,Good,Full Sun,Medium,No
Hemp,6.0,7.5,10,25,50,70,Loamy,High,Medium,Medium,4,50,Good,Full Sun,Medium,Yes
Flax,5.5,7.0,10,25,40,60,Loamy,Medium,Medium,Medium,3,40,Good,Full Sun,Medium,Yes
Tobacco,5.5,7.5,20,35,50,70,Loamy,High,Medium,High,4,40,Good,Full Sun,Medium,No
